ID,District,Neighborhood,PropertyType,CancellationPolicy,Accommodates,RoomType,Bathrooms,Bedrooms,CleaningFee,Latitude,Longitude,ReviewRating,Price
5300082,Manhattan,East Village,Apartment,strict,2,Entire home/apt,1.0,0.0,75.0,40.729555336664326,-73.98166479865624,86.0,160.0
17634206,Manhattan,Hell's Kitchen,Apartment,flexible,2,Entire home/apt,1.0,1.0,66.64652473387602,40.766987691035325,-73.98480242323984,100.0,130.0
4025329,Manhattan,Harlem,Apartment,strict,4,Entire home/apt,1.0,0.0,69.0,40.81585912546683,-73.94116506505654,91.0,129.0
10096773,Manhattan,Chelsea,Apartment,flexible,2,Entire home/apt,1.0,1.0,60.0,40.74577346508178,-74.0007435137357,100.0,145.0
11616592,Manhattan,West Village,Apartment,strict,9,Entire home/apt,2.5,3.0,160.0,40.73758260955226,-74.00553133706515,94.0,399.0
13594977,Manhattan,West Village,Apartment,strict,2,Entire home/apt,1.0,0.0,50.0,40.73409410864448,-74.00107667645653,94.0,175.0
17348166,Manhattan,Chelsea,Apartment,strict,2,Entire home/apt,1.0,0.0,66.64652473387602,40.740529043597064,-74.00082566509687,100.0,161.0
15649722,Manhattan,East Village,Apartment,strict,6,Entire home/apt,1.0,2.0,150.0,40.720831457414576,-73.97883800520762,100.0,280.0
14237920,Manhattan,Chinatown,Apartment,flexible,2,Private room,1.0,1.0,50.0,40.71673983565664,-73.9956542257207,100.0,100.0
13532366,Manhattan,Upper West Side,Apartment,moderate,3,Private room,1.0,1.0,65.0,40.76986308675655,-73.98672529046748,100.0,90.0
8444227,Manhattan,SoHo,Apartment,strict,2,Private room,1.0,1.0,150.0,40.7260687060805,-74.00166136130058,98.0,136.0
1203737,Manhattan,Upper West Side,Apartment,strict,4,Entire home/apt,1.0,1.0,66.64652473387602,40.80321747790102,-73.9696306777318,95.0,180.0
2645558,Manhattan,Gramercy,Apartment,strict,2,Entire home/apt,1.0,1.0,80.0,40.73409479325293,-73.9855869237304,92.0,200.0
1645772,Manhattan,Upper East Side,Apartment,strict,2,Private room,1.0,1.0,50.0,40.77117593528683,-73.95269847242129,94.0,150.0
6476333,Manhattan,East Harlem,Apartment,strict,2,Private room,1.0,1.0,50.0,40.80181751274311,-73.94014371517025,100.0,95.0
1403870,Manhattan,SoHo,Apartment,strict,4,Entire home/apt,2.0,2.0,100.0,40.7258685006299,-74.00185661419842,99.0,300.0
11833195,Manhattan,Midtown,Apartment,strict,2,Entire home/apt,1.0,1.0,100.0,40.75900907294592,-73.9668795084396,88.0,230.0
14106535,Manhattan,Washington Heights,Apartment,strict,2,Entire home/apt,1.0,1.0,66.64652473387602,40.85249604597296,-73.93019418938405,80.0,100.0
13084019,Manhattan,Midtown,Apartment,strict,6,Entire home/apt,1.5,2.0,150.0,40.750823978839996,-73.98526114021028,97.0,400.0
13668127,Manhattan,Greenwich Village,Apartment,strict,2,Private room,1.0,1.0,30.0,40.72948409034793,-74.00153317145664,96.0,115.0
1469955,Manhattan,Upper West Side,Apartment,moderate,2,Entire home/apt,1.0,1.0,50.0,40.77863579993887,-73.98437161898234,86.0,150.0
4861264,Manhattan,East Village,Apartment,strict,2,Private room,1.0,1.0,66.64652473387602,40.731799829886064,-73.98862013263616,91.0,225.0
15053369,Manhattan,East Village,Apartment,strict,5,Entire home/apt,1.0,1.0,60.0,40.72522106803317,-73.98730307192824,86.0,99.0
978120,Manhattan,West Village,Apartment,strict,2,Shared room,1.0,1.0,66.64652473387602,40.73562502978239,-74.00877000116995,95.0,199.0
1844094,Manhattan,East Village,Apartment,strict,2,Entire home/apt,1.0,0.0,115.0,40.724313743829775,-73.97804198264856,78.0,120.0
1919647,Manhattan,Lower East Side,Apartment,flexible,3,Entire home/apt,1.0,1.0,66.64652473387602,40.720833905281296,-73.98754627293566,83.0,175.0
506121,Manhattan,East Village,Apartment,strict,1,Private room,1.0,1.0,66.64652473387602,40.72759754045031,-73.98346679952937,98.0,72.0
16813543,Manhattan,Upper East Side,Apartment,strict,6,Entire home/apt,1.0,2.0,90.0,40.773068259356435,-73.95995643908746,100.0,225.0
9740150,Manhattan,Harlem,Apartment,flexible,2,Private room,1.0,1.0,15.0,40.80856588414079,-73.94199828276348,98.0,89.0
1194066,Manhattan,Upper East Side,Apartment,strict,4,Entire home/apt,1.0,1.0,75.0,40.7670292947042,-73.95413440579838,86.0,190.0
15759553,Manhattan,Washington Heights,Apartment,moderate,1,Shared room,1.0,1.0,40.0,40.83410477424199,-73.94023773293277,88.0,32.0
13412334,Manhattan,Upper East Side,Apartment,flexible,1,Entire home/apt,1.0,0.0,66.64652473387602,40.7662460287808,-73.95641794954298,100.0,100.0
3567258,Manhattan,Gramercy,Loft,moderate,2,Entire home/apt,1.0,0.0,60.0,40.73711111793558,-73.98985060759752,95.0,220.0
323706,Manhattan,Upper West Side,Apartment,moderate,5,Entire home/apt,2.0,2.0,90.0,40.778915257572926,-73.98238389117913,98.0,399.0
7917755,Manhattan,East Village,Apartment,flexible,4,Entire home/apt,1.0,1.0,66.64652473387602,40.723037003687466,-73.97696160171789,80.0,180.0
14296562,Manhattan,Kips Bay,Apartment,flexible,2,Entire home/apt,1.0,1.0,66.64652473387602,40.7395782468405,-73.98257526881302,100.0,195.0
12702555,Queens,Long Island City,Apartment,strict,2,Private room,1.0,1.0,20.0,40.76295181739838,-73.92893614227899,90.0,40.0
3342369,Manhattan,Hell's Kitchen,Apartment,moderate,2,Private room,1.0,1.0,25.0,40.76033506868361,-73.99200064514916,97.0,90.0
7450973,Manhattan,Upper East Side,Apartment,strict,2,Entire home/apt,1.0,1.0,30.0,40.77128784623885,-73.9610015744497,84.0,215.0
9005771,Manhattan,Harlem,Apartment,flexible,1,Private room,1.0,1.0,66.64652473387602,40.81998567858891,-73.93932518046414,100.0,45.0
228496,Manhattan,West Village,Apartment,moderate,4,Entire home/apt,1.0,2.0,100.0,40.73507453399132,-74.00047930109416,94.0,279.0
15508674,Manhattan,Harlem,Apartment,strict,4,Entire home/apt,1.0,1.0,20.0,40.80261750644552,-73.95769752060092,83.0,145.0
13846485,Manhattan,Upper West Side,Apartment,strict,3,Entire home/apt,1.0,1.0,65.0,40.798898565787226,-73.96346080097321,95.0,90.0
18076816,Manhattan,Roosevelt Island,Apartment,strict,2,Private room,1.0,1.0,30.0,40.7621343151999,-73.94971162148545,95.0,100.0
4594909,Manhattan,Washington Heights,Apartment,flexible,2,Entire home/apt,1.0,0.0,50.0,40.843717584616776,-73.93421103553489,94.0,70.0
14992864,Manhattan,Hell's Kitchen,Apartment,strict,4,Entire home/apt,1.0,1.0,200.0,40.763283471060966,-73.98576787115738,92.0,350.0
5953069,Manhattan,Harlem,Apartment,strict,2,Entire home/apt,1.0,0.0,40.0,40.8026607674334,-73.95683142176087,93.0,140.0
1716441,Manhattan,Lower East Side,Apartment,moderate,2,Private room,1.0,1.0,66.64652473387602,40.719055777983435,-73.98449622506766,93.0,65.0
5279859,Manhattan,Kips Bay,Apartment,strict,2,Entire home/apt,1.0,0.0,66.64652473387602,40.74084025713295,-73.98008056233006,97.0,196.0
4611,Manhattan,Harlem,Bed & Breakfast,strict,1,Private room,1.0878780662062395,1.0,60.0,40.82486104065338,-73.94998226553749,87.0,46.0
14295171,Manhattan,Greenwich Village,Apartment,strict,4,Entire home/apt,1.0,1.0,100.0,40.72921393277132,-74.00101215524195,97.0,275.0
9371009,Manhattan,Upper East Side,Apartment,strict,4,Entire home/apt,1.0,1.0,66.64652473387602,40.77499726110267,-73.94841773873603,90.0,110.0
9790101,Manhattan,Gramercy,Apartment,strict,4,Entire home/apt,2.5,2.0,160.0,40.73560786123715,-73.9823680850453,100.0,499.0
17654041,Manhattan,Harlem,Apartment,strict,3,Private room,1.0,1.0,66.64652473387602,40.82012798541139,-73.93836925372725,83.0,58.0
6328394,Manhattan,Harlem,Apartment,strict,6,Entire home/apt,1.0,1.0,95.0,40.81356319164928,-73.94807121399317,95.0,140.0
298301,Manhattan,East Village,Apartment,strict,4,Entire home/apt,1.0,2.0,80.0,40.722105565962416,-73.98358750570068,92.0,120.0
6980091,Manhattan,Kips Bay,Apartment,strict,4,Entire home/apt,1.0,1.0,49.0,40.74058432567185,-73.98264779765843,85.0,99.0
13242305,Manhattan,Midtown,Apartment,strict,14,Entire home/apt,2.0,3.0,200.0,40.74419116214353,-73.98167193266266,90.0,347.0
8486046,Manhattan,East Village,Apartment,moderate,2,Private room,1.0,1.0,25.0,40.72623732271197,-73.98290681282087,96.0,100.0
4719825,Manhattan,Upper West Side,Apartment,moderate,4,Entire home/apt,1.0,1.0,100.0,40.79973376879649,-73.97109978229595,93.0,160.0
4205289,Manhattan,Hell's Kitchen,Apartment,strict,4,Entire home/apt,1.0,1.0,55.0,40.75921596673568,-73.98849835744937,91.0,135.0
5250051,Manhattan,Morningside Heights,Apartment,strict,1,Private room,1.5,1.0,50.0,40.814875094299715,-73.95823386557987,92.0,75.0
1803165,Manhattan,Midtown,Apartment,strict,4,Entire home/apt,1.0,1.0,140.0,40.76391228451896,-73.97819699436181,89.0,399.0
13880772,Manhattan,Lower East Side,Apartment,moderate,4,Entire home/apt,2.0,2.0,66.64652473387602,40.71870717866185,-73.98894719298691,80.0,999.0
13236388,Manhattan,Kips Bay,House,strict,8,Entire home/apt,1.0,2.0,100.0,40.744759935140635,-73.9804000496965,95.0,315.0
87987,Manhattan,Hell's Kitchen,Apartment,strict,2,Entire home/apt,1.0,0.0,80.0,40.7607261301458,-73.99327815047249,93.0,195.0
14059223,Manhattan,Washington Heights,Apartment,strict,2,Private room,1.0,1.0,10.0,40.84275418815838,-73.9423638296213,100.0,45.0
8965303,Manhattan,Midtown,Apartment,strict,4,Entire home/apt,1.0,1.0,75.0,40.75162911054094,-73.98673298716587,95.0,200.0
4786442,Manhattan,Upper West Side,Apartment,moderate,2,Entire home/apt,1.0,1.0,65.0,40.79482609493049,-73.97174782576874,100.0,120.0
6501271,Manhattan,Financial District,Apartment,strict,2,Entire home/apt,1.0,0.0,66.64652473387602,40.704932206949714,-74.0085983315078,100.0,175.0
3581652,Manhattan,Harlem,Apartment,strict,6,Entire home/apt,3.0,2.0,100.0,40.80410940789722,-73.9562442810562,92.0,225.0
17812542,Manhattan,East Village,Apartment,flexible,4,Entire home/apt,1.5,2.0,20.0,40.72779374323302,-73.98990564620144,60.0,200.0
5720988,Manhattan,West Village,House,flexible,1,Entire home/apt,1.0,1.0,40.0,40.73270545705141,-74.0054505039488,90.0,200.0
408099,Manhattan,Hell's Kitchen,Apartment,moderate,2,Entire home/apt,1.0,1.0,66.64652473387602,40.75873237494043,-73.99324565587399,95.0,259.0
15034937,Manhattan,East Village,Apartment,strict,2,Entire home/apt,1.0,0.0,85.0,40.72861882811511,-73.97765676554849,83.0,99.0
16058148,Manhattan,Harlem,Apartment,strict,4,Entire home/apt,1.0,2.0,45.0,40.83056820153188,-73.94602460856932,93.0,109.0
14152618,Manhattan,Washington Heights,Apartment,strict,6,Entire home/apt,1.0,3.0,75.0,40.84266170269567,-73.93976613047822,98.0,175.0
13846473,Manhattan,Upper West Side,Apartment,flexible,2,Entire home/apt,1.0,1.0,66.64652473387602,40.790570174408714,-73.98024079812292,84.0,100.0
4446024,Manhattan,Upper West Side,Apartment,flexible,2,Private room,1.0,1.0,66.64652473387602,40.79691082469275,-73.96204429530087,80.0,250.0
